acronyms,translated_col
BIP,Behavior Intervention Plan
DOE,Department of Education
ERP,Early Resolution Procedures
ESY,Extended School Year Services
FAPE,Free Appropriate Public Education
FBA,Functional Behavioral Assessment
FSC,
HSA,Human Service Authority
IDEA,Individuals with Disabilities Education Act
IEE,independent educational evaluation
IEP,Individualized Education Plan
LDE,Louisiana Department of Education
LDOE,Louisiana Department of Education
LEA,Local Education Agency
LRE,Least Restrictive Environment
MDR,Manifestation Determination Review
OCDD,Office for Citizens with Developmental Disabilities
PBIS,Positive Behavioral Interventions and Supports
RTI,Response to Intervention
