questions,answers,sources
What is an Local Education Agency,"LEA is the local education agency, also referred to as the local school district.",
What is Individuals with Disabilities Education Act,"IDEA is the Individuals with Disabilities Education Act, the Federal special education law that guarantees FAPE.",
What is Free Appropriate Public Education,"FAPE is Free Appropriate Public Education, the provision in IDEA to ensure states provide services to eligible students with disabilities.
The FREE in FAPE means school services must be provided at public expense, under public supervision and direction, without charge. Uniformly assessed fees are permissible. A fee for a service may be charged only if this is a fee for all students in the school. The term ""at no cost"" does not preclude incidental fees that are normally charged to students without disabilities or their parents as part of the regular education program.
Appropriate doesn’t mean the best. It means, All students, including those performing at grade level and those unable to perform at grade level, the school must offer an IEP that is “reasonably calculated to enable a child to make progress in light of the child’s circumstances.”",
What is an Individualized Education Plan,IEP is an individualized Education Program that provides a written plan designed to meet the unique needs of the child with an exceptionality.,
What is Least Restrictive Environment,"LRE is least restrictive environment. LRE is the foundation principle in IDEA that children with disabilities should be educated with their nondisabled peers, to the greatest extent possible.",
What is Positive Behavioral Interventions and Supports,"Positive Behavioral Interventions and Supports is an evidence-based three-tier framework for improving and integrating all of the data, systems, and practicing affecting student outcomes every day. It’s a way to support everyone – especially students with disabilities – to create the kinds of schools where all students are successful.
PBIS isn’t a curriculum you purchase or something you learn during a one-day professional development training. It is a commitment to addressing student behavior through systems change. When it’s implemented well, students achieve improved social and academic outcomes, schools experience reduced exclusionary discipline practices, and school personnel feel more effective.","Center for Positive Behavior Interventions & Supports, a U.S. Department of Education funded Technical Assistance & Dissemination Center"
What is a Functional Behavioral Assessment,"A functional Behavioral Assessment is used to determine the function of the behavior and the factors that maintain it.  It helps teachers to understand the reason(s) (i.e., the function or functions) for a student’s behavior and then to use this information to design an intervention that will help the student learn a new, more acceptable method of getting what he or she wants. In many cases, challenging behaviors are an inappropriate way for a student to either obtain something desired (e.g., attention, a tangible item) or avoid something not preferred (e.g., a task or activity). An FBA should be considered when basic classroom interventions are ineffective and when the behavior:
• Could cause injury to the student or others
• Is intense or occurs frequently
• Places the student at risk for referral to special education or a more restrictive placement","The IRIS Center, a U.S. Department of Education funded Technical Assistance & Dissemination Center"
What is a Behavior Intervention Plan,"A BIP is a Behavior Intervention Plan.  Many students with disabilities – particularly those with emotional or behavioral disorders, have IEP’s that contain a BIP, which provide individualized procedures to prevent undesirable behaviors or to intervene when those behaviors occur.  ","The IRIS Center, a U.S. Department of Education funded Technical Assistance & Dissemination Center"
What is a Manifestation Determination Review,"A Manifestation Determination Review is used if a student with a disability violates the school’s code of conduct, the student’s IEP team must meet to determine whether the behavior was the result of either:
• The student’s disability, or
• Poor implementation of the student’s IEP.",
What is Child Find,"The LDE shall ensure that: 
     a. all students with disabilities residing in the state, including students with disabilities who are homeless children or who are wards of the state, and students with disabilities attending private schools, regardless of the severity of their disability, and who are in need of special education and related services, are identified, located, and evaluated; and 
     b. a practical method is developed and implemented to determine which students are currently receiving needed special education and related services. 

2. Each public agency, in accordance with the requirements of these regulations, shall document that on-going identification activities are conducted to identify, locate, and evaluate each student who is suspected of having a disability, in need of special education and related services, and meets the criteria listed below: 
     a. is enrolled in an educational program operated by or under the jurisdiction of a public agency; 
     b. is enrolled in a private school program within the geographical jurisdiction of a public agency; 
     c. is enrolled in a public or private preschool or day care program; or 
     d. is not enrolled in a school, except for students who have graduated with a regular high school diploma.","Louisiana Bulletin 1706, §111 A"
Should I have my child evaluated for special education,"If your child is between 3 and 21 and having academic, social, or behavioral problems, you may consider getting your child evaluated. In Louisiana, this is called a 1508 evaluation. Many struggling learners first go through the School Building Level Committee (SBLC) and receive interventions (RTI) before they are referred for an evaluation.",
What is Response to Intervention,"The Response to Intervention (RTI) process is a three-tiered approach to providing services and interventions to struggling learners and/or students with challenging behaviors at increasing levels of intensity. Essential components of the process include three tiers of instruction and intervention, use of standard protocols and/or problem-solving methods, and an integrated data collection/assessment system to inform decisions at each tier of instruction/intervention. The process incorporates increasing intensities of instruction and/or intervention that are provided to students in direct proportion to their individual needs. Embedded in each tier is a set of unique support structures or activities that help teachers implement, with fidelity, research-based curricula, instructional practices, and interventions designed to improve student achievement. RTI is designed for use when making decisions in both general and special education, creating a well-integrated system of instruction and intervention guided by student outcome data.","Louisiana Bulletin 1508, §301"
What is the School Building Level Committee,"The School Building Level Committee (SBLC) goes by several different
names, but all have the same function. Some districts call it the Student
Assessment Team, Academic Behavior Intervention Team and other
names. This group is a general education, data driven, decision-making
committee whose standing members consist of at least the
principal/designee, a classroom teacher, and the referring teacher. In
discussing an individual student's difficulties, the student's parent or
guardian is an invited participant. The SBLC shall review and analyze all
screening data, including RTI results, to determine the most beneficial
option for the student. The committee's options include, but are not
limited to one of the following actions:

     1. Conduct no further action at this time.
     2. Continue current intervention and progress monitoring through
the RTI process.
     3. Conduct additional interventions through the RTI process.
     4. Refer the student to the appropriate committee to conduct a
Section 504 evaluation.
     5. Refer the student to pupil appraisal personnel for support
services.
     6. Refer the student to pupil appraisal p","Louisiana Bulletin 1508, §303"
Can the school district refuse to evaluate my child until he or she goes through the Response to Intervention process,"No, The Office of Special Education Programs under the U.S.
Department of Education made it clear a school district cannot delay or
deny the evaluation process due to RTI. ","(OSEP Memorandum dated January 21, 2011)"
Can the school use my private evaluation to expedite the evaluation process,"The school district is required to review all pertinent reports supplied
by the parent or an outside agency during the evaluation process.
Normally, these private evaluations don’t meet the requirements of 1508
and therefore the district will conduct their own evaluation. ","(Louisiana Bulletin 1508, §513 A 3) "
Is the public school system required to evaluate my child that attends a private school for free,"Yes, if you suspect your child is a child is a disability, the public school
system is obligated to evaluate your child under Bulletin 1508 guidelines,
at no cost to the parent or private school your child is attending. ","(Louisiana Bulletin 1508, §103 A 2)"
What does 1508 evaluation mean,"Bulletin 1508 is the regulatory guide for pupil appraisal personnel
when conducting individual evaluations of students suspected of being
exceptional and in need of special education and related services, and as
a reference for persons requiring specific information regarding the
determination of eligibility for special education services","(Louisiana Bulletin 1508, §101 A)"
What are the exceptionalities,"The exceptionalities are Autism, Deaf-Blindness, Developmental
Delay, Emotional Disturbance, Hearing Impairment, Intellectual Disability,
Multiple Disabilities, Orthopedic Impairment, Other Health Impaired,
Specific Learning Disability, Speech or Language Impairment, Traumatic
Brain Injury, Visual Impairment,","(Louisiana Bulletin 1508. §701, §703, §705, §707, §709, §711, §713, §715,
§717, §719, §721, §723, & §725)"
How long does it take to get my child evaluated,"The initial evaluation must be conducted within 60 business days of
receiving parental consent. ","(Louisiana Bulletin 1508, §511 A)"
